PARENTESCO,VALOR_ASIG_RETIRO,REAJUSTE,TOTAL_ASIGNACION,ADICIONALES,TOTAL_DEVENGADO,TOTAL_DESCUENTO,NETO_PAGAR,COSTO TOTAL_NOMINA_2019,TOTAL_PRESUPUESTO GENERAL_NACION_2019,FUERZA,GRADO_ALFABETICO,RANGO,SEXO,EDAD,CIUDAD,DPTO,PAIS
TITULAR,1976110,0,1976110,0,1864255,386686,1477569,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,53,CUCUTA,NORTE DE SANTANDER,COLOMBIA
TITULAR,2251953,0,2251953,0,2124484,621000,1503484,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,52,MONTERIA,CORDOBA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,131065,1886226,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,52,BOGOTÁ,BOGOTÁ D.C,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,470539,1546752,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,53,BOGOTÁ,BOGOTÁ D.C,COLOMBIA
TITULAR,1361648,0,1361648,0,1284574,606964,677610,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,52,SOLEDAD,ATLANTICO,COLOMBIA
TITULAR,1361648,0,1361648,0,1284574,86070,1198504,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,53,CONTADERO,NARIÑO,COLOMBIA
TITULAR,1976110,0,1976110,0,1864255,635549,1228706,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,54,IBAGUE,TOLIMA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,122039,1895252,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,53,NEIVA,HUILA,COLOMBIA
TITULAR,1523866,0,1523866,0,1437610,702372,735238,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,52,PITALITO,HUILA,COLOMBIA
TITULAR,1586197,0,1586197,0,1496412,296892,1199520,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,55,VILLAVICENCIO,META,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,115811,1901480,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,58,NEIVA,HUILA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,994194,1023097,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,56,FLORENCIA,CAQUETA,COLOMBIA
TITULAR,1586197,0,1586197,0,1496412,268822,1227590,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,54,IPIALES,NARIÑO,COLOMBIA
TITULAR,1361648,0,1361648,0,1284574,98861,1185713,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,54,LOS PATIOS,NORTE DE SANTANDER,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,928207,1089084,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,58,VILLAVICENCIO,META,COLOMBIA
TITULAR,1361648,0,1361648,0,1284574,630221,654353,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,50,FUSAGASUGA,CUNDINAMARCA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,645050,1372241,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,53,MEDELLIN,ANTIOQUIA,COLOMBIA
TITULAR,1361648,0,1361648,0,1284574,509009,775565,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,57,MEDELLIN,ANTIOQUIA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,115865,1901426,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,51,CALI,VALLE DEL CAUCA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,492543,1524748,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,55,SOACHA,CUNDINAMARCA,COLOMBIA
TITULAR,1361648,0,1361648,0,1284574,64229,1220345,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,59,BUCARAMANGA,SANTANDER,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,877898,1139393,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,61,MEDELLIN,ANTIOQUIA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,938833,1078458,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,54,PALMIRA,VALLE DEL CAUCA,COLOMBIA
TITULAR,1361648,0,1361648,0,1284574,546967,737607,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,55,BOGOTÁ,BOGOTÁ D.C,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,1002954,1014337,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,55,MEDELLIN,ANTIOQUIA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,974347,1042944,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,59,FLANDES,TOLIMA,COLOMBIA
TITULAR,1707951,0,1707951,0,1611275,621165,990110,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,59,PEREIRA,RISARALDA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,552905,1464386,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,55,SOGAMOSO,BOYACA,COLOMBIA
TITULAR,1361648,0,1361648,0,1284574,674402,610172,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,55,BELLO,ANTIOQUIA,COLOMBIA
TITULAR,2260082,0,2260082,0,2132153,639019,1493134,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,59,BOGOTÁ,BOGOTÁ D.C,COLOMBIA
TITULAR,1523866,0,1523866,0,1437610,86880,1350730,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,54,SOACHA,CUNDINAMARCA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,988887,1028404,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,57,NEIVA,HUILA,COLOMBIA
TITULAR,1361648,0,1361648,0,1284574,635042,649532,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,57,VILLAMARIA,CALDAS,COLOMBIA
TITULAR,1523866,0,1523866,0,1437610,661808,775802,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,57,BOGOTÁ,BOGOTÁ D.C,COLOMBIA
TITULAR,1976110,0,1976110,0,1864255,922099,942156,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,53,TUNJA,BOYACA,COLOMBIA
TITULAR,1976110,0,1976110,0,1864255,723633,1140622,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,55,BELLO,ANTIOQUIA,COLOMBIA
TITULAR,2270836,0,2270836,0,2142299,107115,2035184,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,54,VALPARAISO,ANTIOQUIA,COLOMBIA
TITULAR,1976110,0,1976110,0,1864255,109412,1754843,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,51,PUERTO BERRIO,ANTIOQUIA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,616606,1400685,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,55,NEIVA,HUILA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,100865,1916426,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,53,JAMUNDI,VALLE DEL CAUCA,COLOMBIA
TITULAR,1361648,0,1361648,0,1284574,64229,1220345,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,58,APIA,RISARALDA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,133762,1883529,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,61,VALLEDUPAR,CESAR,COLOMBIA
TITULAR,1361648,0,1361648,0,1284574,642229,642345,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,59,NEIVA,HUILA,COLOMBIA
TITULAR,1361648,0,1361648,0,1284574,183577,1100997,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,55,MEDELLIN,ANTIOQUIA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,115865,1901426,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,57,MELGAR,TOLIMA,COLOMBIA
TITULAR,1612911,0,1612911,0,1521614,710589,811025,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,60,MEDELLIN,ANTIOQUIA,COLOMBIA
TITULAR,1523866,0,1523866,0,1437610,683381,754229,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,55,DUITAMA,BOYACA,COLOMBIA
TITULAR,1361648,0,1361648,0,1284574,395647,888927,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,52,NEIVA,HUILA,COLOMBIA
TITULAR,2138328,0,2138328,0,2017291,895257,1122034,337732874881,243817588608569,EJÉRCITO,SLP,SOLDADO,MASCULINO,53,BUCARAMANGA,SANTANDER,COLOMBIA
